Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
16-10-08.2SWUA,35,1,18.50958904,19,SWUA,SWUA,42.6715,59.1385,2.8515,12.7169,50.7097,47.9289,606.5714,550.2946,585,504.5625,606.3333,577,537.7143,519.8571,0.875,0.9375,0.75,0.75,0.75,0.625,0.875,0.8125,0.79688,0.18229,0.20313,590.575,545.3487,547.9035,486.2102,555.3185,558.17
16-10-30.1SWUA,63,2,18.66027397,19,SWUA,SWUA,77.6761,7.6652,62.1713,82.1183,9.2702,77.0233,530.8125,496.7857,469.375,542.9554,618.1875,546.0536,519.6429,548.0119,0.9375,0.875,1,0.9375,1,0.9375,0.9375,0.8125,0.92969,0.072917,0.08125,561.9508,510.4924,484.2746,502.8273,496.4655,558.6368
16-09-18.6SWUA,6,2,18.76712329,19,SWUA,SWUA,75.0275,39.731,18.6218,190.3383,72.0653,29.3158,550.8,505.5625,452.1518,468.5357,564.9,512.4048,489.3839,450.5714,0.75,0.875,0.9375,0.9375,0.8125,0.8125,0.9375,0.875,0.86719,0.11979,0.14063,551.152,488.969,476.1245,449.2381,483.4833,502.1052
16-10-09.7SWUA,45,1,18.83013699,19,SWUA,SWUA,49.0335,-22.5405,90.549,65.9342,-11.5173,75.8164,519.1964,472.0625,480.9464,498.3661,648.6875,531.7946,560.125,567.25,0.9375,1,0.9375,0.9375,1,0.9375,1,1,0.96875,0.041667,0.046875,568.4256,495.0899,519.392,517.6304,487.4107,577.9597
16-10-08.6SWUA,39,1,18.89315068,19,SWUA,SWUA,73.7889,12.4792,31.6966,84.0271,12.4792,38.7866,468,378.25,379.6875,390.9375,495.9911,427.25,438.6875,385.6875,1,1,1,1,0.9375,1,1,1,0.99219,0,0.009375,474.3324,396.4375,400.5435,383.9583,404.2188,435.9153
16-11-05.2SWUA,75,2,18.98356164,19,SWUA,SWUA,63.9375,32.4494,33.9657,75.981,7.5035,43.7191,582.125,532.625,521.1875,517.875,625.875,565.875,572,527.7679,1,1,1,1,1,1,1,0.9375,0.99219,0.015625,0.025,589.5625,541.1875,525.625,508.7381,533.4214,567.3871
16-09-25.6SWUA,26,2,18.99178082,19,SWUA,SWUA,47.3297,17.4268,42.7382,25.8477,7.3593,52.3583,526.4375,483.75,494.125,491.2321,584.75,536.8036,529.75,530.1875,1,1,1,0.9375,1,0.9375,0.9375,1,0.97656,0.020833,0.034375,541.4167,498.3053,494.087,480.8785,496.351,539.0892
16-09-24.1SWUA,13,1,19.03287671,19,SWUA,SWUA,37.0444,22.2609,52.4135,16.7944,11.5879,45.3205,496.5,489.125,483.3929,448.5357,545.5,509.5,513.3482,529.25,1,1,0.9375,0.9375,1,1,0.9375,1,0.97656,0.015625,0.040625,509.2292,479.0435,472.1848,456.7826,464.7167,517.1302
16-10-09.1SWUA,41,2,19.04657534,19,SWUA,SWUA,156.3582,17.295,23.7968,190.6825,17.7718,32.3782,637.4583,471.125,450,416.5625,572.0268,496.4107,487.6339,446.75,0.875,1,1,1,0.9375,0.9375,0.9375,1,0.96094,0.015625,0.05,604.119,445.1166,447.7609,427.8216,475.0328,498.8296
16-09-18.4SWUA,4,2,19.06849315,19,SWUA,SWUA,52.9604,21.7279,44.4021,3.8603,52.596,58.1011,554.8214,496.7321,454.25,488.6875,534.2292,602.2292,490.7125,500.3304,0.8125,0.9375,0.75,1,0.875,0.875,0.8125,0.9375,0.875,0.083333,0.12812,511.1865,510.7185,458.2261,488.9905,488.3167,532.7188
