Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
17-02-19.3SWUC,189,2,6.63,7,SWUC,SWUC,65.349,-5.8118,39.9735,47.6553,-53.3946,249.0908,694,624.6875,605.4167,605.7125,711.4571,696.45,681.6,618.625,0.6875,0.9375,0.625,0.8125,0.75,0.4375,0.75,0.5625,0.69531,0.15104,0.275,676.1656,608.3941,610.8167,614.2059,632.4515,672.425
16-08-15.3SWUC,59,1,6.73,7,SWUC,SWUC,107.42,40.1636,60.4633,109.0678,55.7302,94.1209,660.1429,539.9375,523.25,507.1071,665.25,591.6429,577.5,550.9911,0.9375,1,1,0.9375,1,0.8125,0.9375,0.9375,0.94531,0.010417,0.059375,647.8902,557.5549,540.4701,517.3913,542.7953,603.2586
17-02-19.4SWUC,190,2,6.82,7,SWUC,SWUC,103.4893,45.6275,70.7163,185.9519,92.8597,252.3778,650.7381,712.0286,532.7875,628.9286,764.875,766.1857,612.9,660.9833,0.8125,0.75,0.8125,0.8125,0.5,0.75,0.75,0.6875,0.73438,0.11979,0.2875,699.8882,714.7059,596.3989,669.0784,628.5662,699.2825
17-02-14.2SWUC,182,2,6.85,7,SWUC,SWUC,96.1956,36.9382,32.8845,189.3488,4.3517,253.2737,724.4333,662.4643,736.8839,651.7143,819.5833,717.25,688.25,683.2167,0.6875,0.9375,0.9375,0.875,0.6875,0.75,0.625,0.6875,0.77344,0.14063,0.2125,789.6928,667.6119,693.4972,630.6737,691.422,724.3064
16-08-30.1SWUC,87,2,7.15,7,SWUC,SWUC,55.0474,56.7225,13.9028,337.3065,75.6809,316.2892,742.6071,748.1875,749.7679,684.1875,836.75,774.3393,717.7083,659.9167,0.6875,0.9375,0.6875,0.875,0.5,0.6875,0.625,0.5625,0.69531,0.20833,0.2875,772,726.971,716.9526,670.2485,729.8167,743.7194
17-02-19.2SWUC,188,2,7.19,7,SWUC,SWUC,38.3299,33.8567,33.5164,129.0764,98.3015,38.9434,684.5119,669.5714,676.7321,619.4375,747.8333,708.4732,684.0179,644.8304,0.8125,0.875,0.9375,1,0.8125,0.9375,0.9375,0.9375,0.90625,0.057292,0.084375,697.6917,661.5804,659.3617,627.7237,660.931,694.4474
16-08-30.2SWUC,89,2,7.33,7,SWUC,SWUC,45.6227,34.9429,73.6251,74.7053,41.3983,152.1639,713.2262,638.6667,632.4583,685.6,750.275,763.7381,714.0625,703.2024,0.8125,0.875,0.875,0.8125,0.8125,0.8125,0.75,0.8125,0.82031,0.16667,0.18437,710.2894,696.2609,664.6667,661.3179,666.4923,740.1174
16-12-02.1SWUC,103,2,7.35,7,SWUC,SWUC,48.6905,40.1613,45.9229,229.0197,82.7277,-47.7241,716.7,673.0893,641.5286,683.55,738.8667,784.4107,688,701,0.5625,0.6875,0.75,0.5625,0.6875,0.6875,0.75,0.75,0.67969,0.27083,0.325,716.7265,720.6176,668.0359,680.4563,677.581,723.5038
16-08-28.1SWUC,79,2,7.44,7,SWUC,SWUC,79.2212,64.7474,64.0123,116.925,70.1074,169.9705,690.75,631.75,583.875,569.8125,700.0714,697.6875,680.6667,646.0714,0.9375,1,1,1,0.875,0.875,0.8125,0.875,0.92188,0.046875,0.06875,691.9307,662.3561,612.7095,597.6087,617.5706,681.5829
17-01-03.1SWUC,132,2,7.47,7,SWUC,SWUC,41.593,37.5145,77.7606,117.3676,-32.9429,283.72,657.775,576.5714,548.1429,530.1964,685.6667,637.0286,634.3,633.6333,0.8125,0.875,0.875,0.9375,0.6875,0.75,0.6875,0.6875,0.78906,0.10938,0.20937,644.9969,593.5455,603.4039,556.031,570.5936,648.3542
